iter	Passed	Remaining
0	1	134
1	2	121
2	3	116
3	4	108
4	5	107
5	6	106
6	7	105
7	9	104
8	10	102
9	11	101
10	12	100
11	13	99
12	14	98
13	15	97
14	17	96
15	18	95
16	19	94
17	20	93
18	21	91
19	22	90
20	23	89
21	24	88
22	25	86
23	26	85
24	28	84
25	29	82
26	30	81
27	31	80
28	32	79
29	33	77
30	34	76
31	35	76
32	37	75
33	38	74
34	39	73
35	40	72
36	41	70
37	42	69
38	43	68
39	44	67
40	46	66
41	46	64
42	47	63
43	48	61
44	49	60
45	50	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	59	50
54	60	49
55	61	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	23
77	81	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
